"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
149,8,10274.1,2075.8,304.2,1025.1,20.4,8.6,39.8
150,8,12254.7,3805.6,172.4,233.6,29.1,7.6,50.8
151,8,13342.2,8291,157.6,183.3,29.4,8.4,59.2
152,8,16267,7587.1,166,311.1,28.4,7,34.7
153,8,19247.3,11918.5,195.8,434.5,27.1,6.2,31.3
154,8,25226.4,4847.5,182.6,297,27,8.6,49.7
155,8,32903.1,16957.9,168.6,283,31.2,7.1,39.1
156,9,1335.7,2128.7,165.1,196.5,27.4,8.1,58.2
157,9,1461.9,4150.2,125.1,231.7,31,6.6,27.3
158,9,5206.3,1701.5,157.6,409.1,33.7,7.1,25.4
159,9,6445.3,4096.5,144.7,752.6,30,8.1,14.8
160,9,7559,8886.8,124.8,164,31.1,7.4,39.5
161,9,9327,8052.9,257.7,361.7,26.9,7.7,69.9
162,9,9628.4,2020.4,148.9,484.5,30.8,7.8,21.6
163,9,10394.5,2130.8,148.2,214.6,29.9,7.7,42.6
164,9,12273.6,3916.2,186.7,310,29.8,7.2,43.2
165,9,13295.7,8290.2,136.4,611.8,32.9,9.6,17.8
166,9,16293.7,7517.7,118.8,247.4,30.8,6.8,24.2
167,9,19195.5,11940.6,158.1,297.8,28.6,6.7,32.2
168,9,21716.2,10315.1,119.5,162.3,29.1,7.2,36.5
169,9,23809.9,10048.1,157.1,185.2,26.8,7.9,55.2
170,9,25202.4,4803.4,149.3,221.8,28.9,7.5,41
171,9,29868.5,11605.6,135.2,171.5,29.4,6.7,40.1
172,9,32850.1,17006.1,159.3,273.8,32.1,6.5,34.4
173,10,1282.9,2070.1,159.6,275.7,27.2,6.4,33.8
174,10,5277.5,1699.3,169.8,465.7,31.7,8.2,28.4
175,10,6420.7,4061.9,123.3,665.1,33.1,7.1,12.1
176,10,7604.4,8872.7,142.7,218.8,28.8,6.6,35.2
177,10,9434.4,8114.1,118.7,188.8,32,8.6,36.4
178,10,9607,1990.7,165.7,598.9,28.9,8.7,23.1
179,10,12261.8,3902.9,110.3,172.1,30.1,8.7,35.5
180,10,13313.7,8236.3,138.3,237.1,26.8,7.4,34
181,10,16255.4,7681.1,257.9,413.8,24.1,7.3,59.2
182,10,19208.5,11940,109.6,156.5,31.4,6.7,31.3
183,10,21723.4,10346.9,111.2,339.4,31.5,7.3,17.9
184,10,25188.6,4857.3,180.1,310.7,27.1,6.4,37.3
185,10,28220.9,11657.7,241.5,251.2,27.2,6.2,72.3
186,10,29861.4,11558.4,142.8,220.8,31.3,7.5,38.5
187,10,32774.4,17170.5,161,278.8,31.6,8,40
188,11,1282.7,2032.8,138.4,204.8,30.5,6.2,33.8
189,11,5301.9,1661.8,220.8,816.8,28.9,8.8,28.6
190,11,6426.1,4058.7,130,730.8,33.1,9.7,14.4
191,11,7461.3,8943,288.7,435,25.8,8,75.4
192,11,9349.5,8084.3,141.7,175,32.1,8,49
193,11,9613.7,2032.7,146.4,483,31.5,7.1,19.8
194,11,9651.5,5039.7,121.5,122.3,28.3,6,41.9
195,11,12381.3,4021.6,143.2,237,29.7,6.2,31.5
196,11,13392.6,8096.6,48.4,73,33.7,7.5,22
197,11,16289.1,7603.3,151.4,406.8,28.3,7.2,24.2
198,11,19213.3,11968.9,106,166.8,30.6,6.8,28.4
199,11,21692,10348.2,131.2,292.6,31.5,7,25.2
200,11,25179.7,4807.5,204.2,362.8,25.3,5.7,36.6
201,11,28324.8,11659.2,148.6,186.5,26.8,6.8,43.9
